Data;Wysokosc;Objetosc
2014-01-07 04:00:00;2,212;31,718788
2014-01-07 05:00:00;2,211;31,703842
2014-01-07 06:00:00;2,211;31,703842
2014-01-07 07:00:00;2,21;31,688894
2014-01-07 08:00:00;2,187;31,357
2014-01-07 09:00:00;2,173;31,133
2014-01-07 10:00:00;2,16;30,932894
2014-01-07 11:00:00;2,133;30,505
2014-01-07 12:00:00;2,103;30,0503
2014-01-07 13:00:00;2,093;29,9015
2014-01-07 14:00:00;2,077;29,6375
2014-01-07 15:00:00;2,034;28,95075
2014-01-07 16:00:00;2,001;28,438894
2014-01-07 17:00:00;1,984;28,154554
2014-01-07 18:00:00;1,941;27,477888
2014-01-07 19:00:00;1,928;27,256166
2014-01-07 20:00:00;1,909;26,946474
2014-01-07 21:00:00;1,88;26,487333
2014-01-07 22:00:00;1,87;26,316223
2014-01-07 23:00:00;1,86;26,151052
