Data;Wysokosc;Objetosc
2014-01-01 01:00:00;1,814;18,083
2014-01-01 02:00:00;1,798;18,046165
2014-01-01 03:00:00;1,798;18,046165
2014-01-01 04:00:00;1,798;18,046165
2014-01-01 05:00:00;1,798;18,046165
2014-01-01 06:00:00;1,796;18,0405
2014-01-01 07:00:00;1,79;18,0235
2014-01-01 08:00:00;1,763;17,929
2014-01-01 09:00:00;1,736;17,812
2014-01-01 10:00:00;1,673;17,434
2014-01-01 11:00:00;1,642;17,204231
2014-01-01 12:00:00;1,607;16,92031
2014-01-01 13:00:00;1,585;16,727
2014-01-01 14:00:00;1,528;16,18725
2014-01-01 15:00:00;1,512;16,031076
2014-01-01 16:00:00;1,462;15,526
2014-01-01 17:00:00;1,437;15,259154
2014-01-01 18:00:00;1,406;14,955154
2014-01-01 19:00:00;1,351;14,420077
2014-01-01 20:00:00;1,319;14,037462
2014-01-01 21:00:00;1,284;13,61575
2014-01-01 22:00:00;1,25;13,192333
2014-01-01 23:00:00;1,248;13,166667
2014-01-02 00:00:00;1,231;12,96
2014-01-02 01:00:00;1,224;12,869
2014-01-02 02:00:00;1,224;12,869
2014-01-02 03:00:00;1,224;12,869
2014-01-02 04:00:00;1,224;12,869
2014-01-02 05:00:00;1,224;12,869
2014-01-02 06:00:00;1,222;12,843
2014-01-02 07:00:00;1,222;12,843
2014-01-02 08:00:00;1,207;12,662
2014-01-02 09:00:00;1,196;12,53
2014-01-02 10:00:00;1,177;12,289538
2014-01-02 11:00:00;1,149;11,938308
2014-01-02 12:00:00;1,109;11,439462
2014-01-02 13:00:00;1,081;11,08577
2014-01-02 14:00:00;1,048;10,674
2014-01-02 15:00:00;1,016;10,265307
2014-01-02 16:00:00;0,972;9,70475
2014-01-02 17:00:00;0,933;9,211462
2014-01-02 18:00:00;0,903;8,831538
2014-01-02 19:00:00;0,878;8,514538
2014-01-02 20:00:00;0,847;8,129666
2014-01-02 21:00:00;0,834;7,967615
2014-01-02 22:00:00;0,815;7,725769
2014-01-02 23:00:00;0,8;7,5446153
2014-01-03 00:00:00;0,791;7,435
2014-01-03 01:00:00;0,79;7,422
2014-01-03 02:00:00;0,789;7,409
2014-01-03 03:00:00;0,789;7,409
2014-01-03 04:00:00;0,789;7,409
2014-01-03 05:00:00;0,789;7,409
2014-01-03 06:00:00;0,787;7,383
2014-01-03 07:00:00;0,77;7,172
2014-01-03 08:00:00;0,766;7,1230836
2014-01-03 09:00:00;0,738;6,778615
2014-01-03 10:00:00;0,697;6,269846
2014-01-03 11:00:00;0,665;5,883923
2014-01-03 12:00:00;0,645;5,64375
2014-01-03 13:00:00;0,604;5,159
2014-01-03 14:00:00;0,577;4,8425384
2014-01-03 15:00:00;0,54;4,419077
2014-01-03 16:00:00;0,468;3,6188462
2014-01-03 17:00:00;0,442;3,3376667
2014-01-03 18:00:00;0,394;2,827
2014-01-03 19:00:00;1,106;11,402845
2014-01-03 20:00:00;1,55;16,398834
2014-01-03 21:00:00;1,544;16,342077
2014-01-03 22:00:00;1,515;16,059692
2014-01-03 23:00:00;1,506;15,97323
2014-01-04 00:00:00;1,485;15,757
2014-01-04 01:00:00;1,485;15,757
2014-01-04 02:00:00;1,485;15,757
2014-01-04 03:00:00;1,485;15,757
2014-01-04 04:00:00;1,485;15,757
2014-01-04 05:00:00;1,482;15,726769
2014-01-04 06:00:00;1,482;15,726769
2014-01-04 07:00:00;1,468;15,586
2014-01-04 08:00:00;1,467;15,576
2014-01-04 09:00:00;1,433;15,216667
2014-01-04 10:00:00;1,409;14,954
2014-01-04 11:00:00;1,375;14,707538
2014-01-04 12:00:00;1,347;14,373615
2014-01-04 13:00:00;1,315;13,990385
2014-01-04 14:00:00;1,284;13,61575
2014-01-04 15:00:00;1,245;13,129077
2014-01-04 16:00:00;1,197;12,542
2014-01-04 17:00:00;1,15;11,950385
2014-01-04 18:00:00;1,117;11,537308
2014-01-04 19:00:00;1,096;11,281307
2014-01-04 20:00:00;1,083;11,11125
2014-01-04 21:00:00;1,051;10,71375
2014-01-04 22:00:00;1,038;10,547154
2014-01-04 23:00:00;1,037;10,534845
2014-01-05 00:00:00;1,036;10,522538
2014-01-05 01:00:00;1,022;10,34175
2014-01-05 02:00:00;1,009;10,179692
2014-01-05 03:00:00;1,009;10,179692
2014-01-05 04:00:00;1,009;10,179692
2014-01-05 05:00:00;1,009;10,179692
2014-01-05 06:00:00;1,009;10,179692
2014-01-05 07:00:00;0,984;9,860692
2014-01-05 08:00:00;0,974;9,73125
2014-01-05 09:00:00;0,962;9,571667
2014-01-05 10:00:00;0,951;9,431615
2014-01-05 11:00:00;0,928;9,14725
2014-01-05 12:00:00;0,86;8,29577
2014-01-05 13:00:00;0,838;8,016231
2014-01-05 14:00:00;0,784;7,344
2014-01-05 15:00:00;0,756;6,9939165
2014-01-05 16:00:00;0,716;6,5051665
2014-01-05 17:00:00;0,683;6,097
2014-01-05 18:00:00;0,636;5,536769
2014-01-05 19:00:00;0,606;5,181769
2014-01-05 20:00:00;0,582;4,90175
2014-01-05 21:00:00;0,557;4,611
2014-01-05 22:00:00;0,555;4,587
2014-01-05 23:00:00;0,537;4,3863077
2014-01-06 00:00:00;0,527;4,2760835
2014-01-06 01:00:00;0,514;4,1234612
2014-01-06 02:00:00;0,514;4,1234612
2014-01-06 03:00:00;0,514;4,1234612
2014-01-06 04:00:00;0,514;4,1234612
2014-01-06 05:00:00;0,514;4,1234612
2014-01-06 06:00:00;0,514;4,1234612
2014-01-06 07:00:00;0,495;3,9182308
2014-01-06 08:00:00;0,485;3,8060832
2014-01-06 09:00:00;0,477;3,7143846
2014-01-06 10:00:00;0,447;3,3943334
2014-01-06 11:00:00;0,405;2,939
2014-01-06 12:00:00;0,359;2,4685
2014-01-06 13:00:00;0,728;6,6591663
2014-01-06 14:00:00;1,659;17,335167
2014-01-06 15:00:00;1,604;16,895615
2014-01-06 16:00:00;1,572;16,614
2014-01-06 17:00:00;1,55;16,398834
2014-01-06 18:00:00;1,497;15,886
2014-01-06 19:00:00;1,467;15,576
2014-01-06 20:00:00;1,434;15,228
2014-01-06 21:00:00;1,41;14,964615
2014-01-06 22:00:00;1,373;14,68477
2014-01-06 23:00:00;1,368;14,62475
2014-01-07 00:00:00;1,36;14,525417
2014-01-07 01:00:00;1,356;14,478154
2014-01-07 02:00:00;1,348;14,38523
2014-01-07 03:00:00;1,348;14,38523
2014-01-07 04:00:00;1,348;14,38523
2014-01-07 05:00:00;1,348;14,38523
2014-01-07 06:00:00;1,348;14,38523
2014-01-07 07:00:00;1,337;14,258154
2014-01-07 08:00:00;1,326;14,123917
2014-01-07 09:00:00;1,296;13,767693
2014-01-07 10:00:00;1,287;13,654
2014-01-07 11:00:00;1,262;13,342384
2014-01-07 12:00:00;1,232;12,973
2014-01-07 13:00:00;1,197;12,542
2014-01-07 14:00:00;1,166;12,152333
2014-01-07 15:00:00;1,138;11,804923
2014-01-07 16:00:00;1,094;11,257
2014-01-07 17:00:00;1,068;10,926769
2014-01-07 18:00:00;1,031;10,461
2014-01-07 19:00:00;1,009;10,179692
2014-01-07 20:00:00;0,982;9,83623
2014-01-07 21:00:00;0,961;9,558333
2014-01-07 22:00:00;0,928;9,14725
2014-01-07 23:00:00;0,914;8,966462
