Czas_pocz;Czas_kon;Zbiornik;H_pocz;H_kon;Bilans
2014-01-01 01:00:00;2014-01-01 03:00:00;1;1.798;1.798;0,036834717
2014-01-01 03:00:00;2014-01-01 05:00:00;1;1.798;1.798;0,0
2014-01-01 05:00:00;2014-01-01 07:00:00;1;1.79;1.79;-0,020040132
2014-01-01 07:00:00;2014-01-01 09:00:00;1;1.736;1.736;0,0774762
2014-01-01 09:00:00;2014-01-01 11:00:00;1;1.642;1.642;0,51930404
2014-01-01 11:00:00;2014-01-01 13:00:00;1;1.585;1.585;0,17874265
2014-01-01 13:00:00;2014-01-01 15:00:00;1;1.512;1.512;0,52537286
2014-01-01 15:00:00;2014-01-01 17:00:00;1;1.437;1.437;0,532533
2014-01-01 17:00:00;2014-01-01 19:00:00;1;1.351;1.351;0,674679
2014-01-01 19:00:00;2014-01-01 21:00:00;1;1.284;1.284;0,36887813
2014-01-01 21:00:00;2014-01-01 23:00:00;1;1.248;1.248;0,32000327
2014-01-01 23:00:00;2014-01-02 01:00:00;1;1.224;1.224;0,22854936
2014-01-02 01:00:00;2014-01-02 03:00:00;1;1.224;1.224;0,0
2014-01-02 03:00:00;2014-01-02 05:00:00;1;1.224;1.224;0,0
2014-01-02 05:00:00;2014-01-02 07:00:00;1;1.222;1.222;0,026000023
2014-01-02 07:00:00;2014-01-02 09:00:00;1;1.196;1.196;0,20354581
2014-01-02 09:00:00;2014-01-02 11:00:00;1;1.149;1.149;0,47472572
2014-01-02 11:00:00;2014-01-02 13:00:00;1;1.081;1.081;0,5268856
2014-01-02 13:00:00;2014-01-02 15:00:00;1;1.016;1.016;0,42407322
2014-01-02 15:00:00;2014-01-02 17:00:00;1;0.933;0.933;0,8274057
2014-01-02 17:00:00;2014-01-02 19:00:00;1;0.878;0.878;0,643456
2014-01-02 19:00:00;2014-01-02 21:00:00;1;0.834;0.834;0,3695879
2014-01-02 21:00:00;2014-01-02 23:00:00;1;0.8;0.8;0,27670193
2014-01-02 23:00:00;2014-01-03 01:00:00;1;0.79;0.79;0,040874958
2014-01-03 01:00:00;2014-01-03 03:00:00;1;0.789;0.789;0,0029997826
2014-01-03 03:00:00;2014-01-03 05:00:00;1;0.789;0.789;0,0
2014-01-03 05:00:00;2014-01-03 07:00:00;1;0.77;0.77;0,12136793
2014-01-03 07:00:00;2014-01-03 09:00:00;1;0.738;0.738;0,27573085
2014-01-03 09:00:00;2014-01-03 11:00:00;1;0.665;0.665;0,65352774
2014-01-03 11:00:00;2014-01-03 13:00:00;1;0.604;0.604;0,551656
2014-01-03 13:00:00;2014-01-03 15:00:00;1;0.54;0.54;0,5985389
2014-01-03 15:00:00;2014-01-03 17:00:00;1;0.442;0.442;0,7374022
2014-01-03 17:00:00;2014-01-03 19:00:00;1;1.106;1.106;-8,323715
2014-01-03 19:00:00;2014-01-03 21:00:00;1;1.544;1.544;-5,135905
2014-01-03 21:00:00;2014-01-03 23:00:00;1;1.506;1.506;0,20190287
2014-01-03 23:00:00;2014-01-04 01:00:00;1;1.485;1.485;0,20623064
2014-01-04 01:00:00;2014-01-04 03:00:00;1;1.485;1.485;0,0
2014-01-04 03:00:00;2014-01-04 05:00:00;1;1.482;1.482;-0,0046052933
2014-01-04 05:00:00;2014-01-04 07:00:00;1;1.468;1.468;0,120769024
2014-01-04 07:00:00;2014-01-04 09:00:00;1;1.433;1.433;0,2603426
2014-01-04 09:00:00;2014-01-04 11:00:00;1;1.375;1.375;0,48912954
2014-01-04 11:00:00;2014-01-04 13:00:00;1;1.315;1.315;0,40107298
2014-01-04 13:00:00;2014-01-04 15:00:00;1;1.245;1.245;0,663393
