Czas_pocz;Czas_kon;Zbiornik;H_pocz;H_kon;Bilans
2014-01-04 15:00:00;2014-01-04 17:00:00;1;1.15;1.15;0,88049316
2014-01-04 17:00:00;2014-01-04 19:00:00;1;1.096;1.096;0,4695511
2014-01-04 19:00:00;2014-01-04 21:00:00;1;1.051;1.051;0,4883561
2014-01-04 21:00:00;2014-01-04 23:00:00;1;1.037;1.037;0,15414858
2014-01-04 23:00:00;2014-01-05 01:00:00;1;1.022;1.022;0,043412685
2014-01-05 01:00:00;2014-01-05 03:00:00;1;1.009;1.009;-0,01950264
2014-01-05 03:00:00;2014-01-05 05:00:00;1;1.009;1.009;0,0
2014-01-05 05:00:00;2014-01-05 07:00:00;1;0.984;0.984;0,18872452
2014-01-05 07:00:00;2014-01-05 09:00:00;1;0.962;0.962;0,21473265
2014-01-05 09:00:00;2014-01-05 11:00:00;1;0.928;0.928;0,27320337
2014-01-05 11:00:00;2014-01-05 13:00:00;1;0.838;0.838;0,7074008
2014-01-05 13:00:00;2014-01-05 15:00:00;1;0.756;0.756;0,70822096
2014-01-05 15:00:00;2014-01-05 17:00:00;1;0.683;0.683;0,5630646
2014-01-05 17:00:00;2014-01-05 19:00:00;1;0.606;0.606;0,54320955
2014-01-05 19:00:00;2014-01-05 21:00:00;1;0.557;0.557;0,28009748
2014-01-05 21:00:00;2014-01-05 23:00:00;1;0.537;0.537;0,22469234
2014-01-05 23:00:00;2014-01-06 01:00:00;1;0.514;0.514;0,24199533
2014-01-06 01:00:00;2014-01-06 03:00:00;1;0.514;0.514;0,0
2014-01-06 03:00:00;2014-01-06 05:00:00;1;0.514;0.514;0,0
2014-01-06 05:00:00;2014-01-06 07:00:00;1;0.495;0.495;0,100714445
2014-01-06 07:00:00;2014-01-06 09:00:00;1;0.477;0.477;0,013882875
2014-01-06 09:00:00;2014-01-06 11:00:00;1;0.405;0.405;0,6256931
2014-01-06 11:00:00;2014-01-06 13:00:00;1;0.728;0.728;-3,9821723
2014-01-06 13:00:00;2014-01-06 15:00:00;1;1.604;1.604;-10,47614
2014-01-06 15:00:00;2014-01-06 17:00:00;1;1.55;1.55;0,39624214
2014-01-06 17:00:00;2014-01-06 19:00:00;1;1.467;1.467;0,38306236
2014-01-06 19:00:00;2014-01-06 21:00:00;1;1.41;1.41;0,37985516
2014-01-06 21:00:00;2014-01-06 23:00:00;1;1.368;1.368;0,24649525
2014-01-06 23:00:00;2014-01-07 01:00:00;1;1.356;1.356;0,14659595
2014-01-07 01:00:00;2014-01-07 03:00:00;1;1.348;1.348;0,09292412
2014-01-07 03:00:00;2014-01-07 05:00:00;1;1.348;1.348;0,0
2014-01-07 05:00:00;2014-01-07 07:00:00;1;1.337;1.337;0,12707615
2014-01-07 07:00:00;2014-01-07 09:00:00;1;1.296;1.296;0,4489975
2014-01-07 09:00:00;2014-01-07 11:00:00;1;1.262;1.262;0,41530895
2014-01-07 11:00:00;2014-01-07 13:00:00;1;1.197;1.197;0,6604433
2014-01-07 13:00:00;2014-01-07 15:00:00;1;1.138;1.138;0,50114346
2014-01-07 15:00:00;2014-01-07 17:00:00;1;1.068;1.068;0,70679665
2014-01-07 17:00:00;2014-01-07 19:00:00;1;1.009;1.009;0,47613335
2014-01-07 19:00:00;2014-01-07 21:00:00;1;0.961;0.961;0,40565872
2014-01-07 21:00:00;2014-01-07 23:00:00;1;0.914;0.914;0,47070122
