Data;Wysokosc;Objetosc
2014-01-01 01:00:00;1,361;9,511223
2014-01-01 02:00:00;1,361;9,511223
2014-01-01 03:00:00;1,338;9,4176
2014-01-01 04:00:00;1,338;9,4176
2014-01-01 05:00:00;1,321;9,34
2014-01-01 06:00:00;1,301;9,240333
2014-01-01 07:00:00;1,299;9,229
2014-01-01 08:00:00;1,268;9,0564
2014-01-01 09:00:00;1,21;8,686223
2014-01-01 10:00:00;1,157;8,3158
2014-01-01 11:00:00;1,093;7,845
2014-01-01 12:00:00;1,025;7,315
2014-01-01 13:00:00;0,96;6,8886
2014-01-01 14:00:00;0,88;6,3386
2014-01-01 15:00:00;0,828;6,020222
2014-01-01 16:00:00;0,77;5,4836
2014-01-01 17:00:00;0,734;5,0842004
2014-01-01 18:00:00;0,68;4,544
2014-01-01 19:00:00;0,612;3,9106002
2014-01-01 20:00:00;0,589;3,685111
2014-01-01 21:00:00;0,582;3,6269
2014-01-01 22:00:00;0,535;3,2398999
2014-01-01 23:00:00;0,511;3,0414443
2014-01-02 00:00:00;0,51;3,033
2014-01-02 01:00:00;0,506;3,0026002
2014-01-02 02:00:00;0,506;3,0026002
2014-01-02 03:00:00;0,506;3,0026002
2014-01-02 04:00:00;0,506;3,0026002
2014-01-02 05:00:00;0,506;3,0026002
2014-01-02 06:00:00;0,487;2,8566668
2014-01-02 07:00:00;0,476;2,764889
2014-01-02 08:00:00;0,476;2,764889
2014-01-02 09:00:00;0,457;2,6126
2014-01-02 10:00:00;0,401;2,182
2014-01-02 11:00:00;0,652;4,2777004
2014-01-02 12:00:00;1,279;9,119444
2014-01-02 13:00:00;1,213;8,707556
2014-01-02 14:00:00;1,074;7,6998887
2014-01-02 15:00:00;1,001;7,1855
2014-01-02 16:00:00;0,931;6,684
2014-01-02 17:00:00;0,855;6,1768
2014-01-02 18:00:00;0,805;5,8954
2014-01-02 19:00:00;0,746;5,2165
2014-01-02 20:00:00;0,712;4,8536663
2014-01-02 21:00:00;0,685;4,589
2014-01-02 22:00:00;0,639;4,1628885
2014-01-02 23:00:00;0,639;4,1628885
2014-01-03 00:00:00;0,629;4,0676665
2014-01-03 01:00:00;0,626;4,0393333
2014-01-03 02:00:00;0,626;4,0393333
2014-01-03 03:00:00;0,626;4,0393333
2014-01-03 04:00:00;0,626;4,0393333
2014-01-03 05:00:00;0,626;4,0393333
2014-01-03 06:00:00;0,626;4,0393333
2014-01-03 07:00:00;0,619;3,9736667
2014-01-03 08:00:00;0,603;3,8334
2014-01-03 09:00:00;0,579;3,6038
2014-01-03 10:00:00;0,522;3,1346667
2014-01-03 11:00:00;0,453;2,583
2014-01-03 12:00:00;0,368;1,934
2014-01-03 13:00:00;0,3;1,447
2014-01-03 14:00:00;1,293;9,195
2014-01-03 15:00:00;1,144;8,221333
2014-01-03 16:00:00;1,06;7,5863333
2014-01-03 17:00:00;0,98;7,0392222
2014-01-03 18:00:00;0,915;6,574
2014-01-03 19:00:00;0,884;6,3634
2014-01-03 20:00:00;0,847;6,1295557
2014-01-03 21:00:00;0,817;5,956778
2014-01-03 22:00:00;0,806;5,9002004
2014-01-03 23:00:00;0,804;5,8906
2014-01-04 00:00:00;0,787;5,694444
2014-01-04 01:00:00;0,785;5,668222
2014-01-04 02:00:00;0,784;5,6551113
2014-01-04 03:00:00;0,784;5,6551113
2014-01-04 04:00:00;0,784;5,6551113
2014-01-04 05:00:00;0,784;5,6551113
2014-01-04 06:00:00;0,784;5,6551113
2014-01-04 07:00:00;0,757;5,3345556
2014-01-04 08:00:00;0,75;5,2585
2014-01-04 09:00:00;0,732;5,0643997
2014-01-04 10:00:00;0,716;4,8963337
2014-01-04 11:00:00;0,684;4,58
2014-01-04 12:00:00;0,643;4,1994
2014-01-04 13:00:00;0,574;3,5643332
2014-01-04 14:00:00;0,503;2,9798
2014-01-04 15:00:00;0,426;2,370222
2014-01-04 16:00:00;0,352;1,8167
2014-01-04 17:00:00;0,256;1,1497779
2014-01-04 18:00:00;1,105;7,9311
2014-01-04 19:00:00;1,047;7,488
2014-01-04 20:00:00;1,027;7,3316665
2014-01-04 21:00:00;0,983;7,0607996
2014-01-04 22:00:00;0,907;6,516222
2014-01-04 23:00:00;0,875;6,3066664
2014-01-05 00:00:00;0,875;6,3066664
2014-01-05 01:00:00;0,874;6,3
2014-01-05 02:00:00;0,87;6,2733335
2014-01-05 03:00:00;0,87;6,2733335
2014-01-05 04:00:00;0,87;6,2733335
2014-01-05 05:00:00;0,87;6,2733335
2014-01-05 06:00:00;0,858;6,1942
2014-01-05 07:00:00;0,857;6,1884
2014-01-05 08:00:00;0,843;6,1046667
2014-01-05 09:00:00;0,821;5,979
2014-01-05 10:00:00;0,798;5,8326
2014-01-05 11:00:00;0,76;5,369889
2014-01-05 12:00:00;0,685;4,589
2014-01-05 13:00:00;0,645;4,2167997
2014-01-05 14:00:00;0,572;3,547
2014-01-05 15:00:00;0,553;3,3862
2014-01-05 16:00:00;0,514;3,066778
2014-01-05 17:00:00;0,465;2,6736667
2014-01-05 18:00:00;0,431;2,4113333
2014-01-05 19:00:00;0,403;2,1964
2014-01-05 20:00:00;0,371;1,9576666
