Data;Wysokosc;Objetosc
2014-01-01 01:00:00;2,267;28,495234
2014-01-01 02:00:00;2,267;28,495234
2014-01-01 03:00:00;2,267;28,495234
2014-01-01 04:00:00;2,267;28,495234
2014-01-01 05:00:00;2,267;28,495234
2014-01-01 06:00:00;2,264;28,476
2014-01-01 07:00:00;2,249;28,369125
2014-01-01 08:00:00;2,239;28,2906
2014-01-01 09:00:00;2,213;28,082066
2014-01-01 10:00:00;2,2;27,968624
2014-01-01 11:00:00;2,154;27,54325
2014-01-01 12:00:00;2,137;27,377
2014-01-01 13:00:00;2,07;26,665
2014-01-01 14:00:00;1,982;25,598
2014-01-01 15:00:00;1,951;25,2135
2014-01-01 16:00:00;1,898;24,522
2014-01-01 17:00:00;1,847;23,837626
2014-01-01 18:00:00;1,828;23,5835
2014-01-01 19:00:00;1,804;23,250175
2014-01-01 20:00:00;1,783;22,9662
2014-01-01 21:00:00;1,771;22,7965
2014-01-01 22:00:00;1,747;22,465626
2014-01-01 23:00:00;1,745;22,438
2014-01-02 00:00:00;1,738;22,3344
2014-01-02 01:00:00;1,738;22,3344
2014-01-02 02:00:00;1,738;22,3344
2014-01-02 03:00:00;1,738;22,3344
2014-01-02 04:00:00;1,738;22,3344
2014-01-02 05:00:00;1,738;22,3344
2014-01-02 06:00:00;1,738;22,3344
2014-01-02 07:00:00;1,72;22,076626
2014-01-02 08:00:00;1,711;21,948198
2014-01-02 09:00:00;1,691;21,6565
2014-01-02 10:00:00;1,665;21,286867
2014-01-02 11:00:00;1,619;19,252
2014-01-02 12:00:00;1,596;18,9795
2014-01-02 13:00:00;1,566;18,628199
2014-01-02 14:00:00;1,514;17,98925
2014-01-02 15:00:00;1,498;17,79475
2014-01-02 16:00:00;1,446;17,135374
2014-01-02 17:00:00;1,417;16,7675
2014-01-02 18:00:00;1,408;16,646801
2014-01-02 19:00:00;1,375;16,214
2014-01-02 20:00:00;1,355;15,942734
2014-01-02 21:00:00;1,337;15,704
2014-01-02 22:00:00;1,322;15,516941
2014-01-02 23:00:00;1,315;15,421667
2014-01-03 00:00:00;1,313;15,393533
2014-01-03 01:00:00;1,312;15,379467
2014-01-03 02:00:00;1,307;15,309134
2014-01-03 03:00:00;1,299;15,200375
2014-01-03 04:00:00;1,299;15,200375
2014-01-03 05:00:00;1,294;15,133187
2014-01-03 06:00:00;1,29;15,079437
2014-01-03 07:00:00;1,283;14,9804
2014-01-03 08:00:00;1,269;14,784813
2014-01-03 09:00:00;1,259;14,650437
2014-01-03 10:00:00;1,25;14,5285
2014-01-03 11:00:00;1,227;14,203
2014-01-03 12:00:00;1,199;13,8108
2014-01-03 13:00:00;1,182;13,575375
2014-01-03 14:00:00;1,16;13,2848
2014-01-03 15:00:00;1,122;12,7505
2014-01-03 16:00:00;1,068;11,9882
2014-01-03 17:00:00;1,038;11,56
2014-01-03 18:00:00;1,007;11,128058
2014-01-03 19:00:00;0,973;10,643375
2014-01-03 20:00:00;0,965;10,532875
2014-01-03 21:00:00;0,961;10,477625
2014-01-03 22:00:00;0,95;10,3174
2014-01-03 23:00:00;0,936;10,118
2014-01-04 00:00:00;0,933;10,076375
2014-01-04 01:00:00;0,933;10,076375
2014-01-04 02:00:00;0,933;10,076375
2014-01-04 03:00:00;0,933;10,076375
2014-01-04 04:00:00;0,933;10,076375
2014-01-04 05:00:00;0,926;9,9795
2014-01-04 06:00:00;0,923;9,93825
2014-01-04 07:00:00;0,909;9,7425995
2014-01-04 08:00:00;0,906;9,6982
2014-01-04 09:00:00;0,897;9,565
2014-01-04 10:00:00;0,876;9,276563
2014-01-04 11:00:00;0,868;9,167063
2014-01-04 12:00:00;0,832;8,674375
2014-01-04 13:00:00;0,804;8,281934
2014-01-04 14:00:00;0,772;7,8343997
2014-01-04 15:00:00;0,736;7,3484
2014-01-04 16:00:00;0,717;7,0848126
2014-01-04 17:00:00;0,67;6,465625
2014-01-04 18:00:00;0,654;6,2517996
2014-01-04 19:00:00;0,605;5,6072
2014-01-04 20:00:00;0,57;5,15925
2014-01-04 21:00:00;0,54;4,7825294
2014-01-04 22:00:00;0,518;4,5059376
2014-01-04 23:00:00;0,518;4,5059376
2014-01-05 00:00:00;0,496;4,2405624
2014-01-05 01:00:00;0,496;4,2405624
2014-01-05 02:00:00;0,496;4,2405624
2014-01-05 03:00:00;0,496;4,2405624
2014-01-05 04:00:00;0,496;4,2405624
2014-01-05 05:00:00;0,496;4,2405624
2014-01-05 06:00:00;0,482;4,069
2014-01-05 07:00:00;0,474;3,9682
2014-01-05 08:00:00;1,782;22,951666
2014-01-05 09:00:00;2,083;26,8125
2014-01-05 10:00:00;2,053;26,465376
2014-01-05 11:00:00;2,019;26,05725
2014-01-05 12:00:00;1,986;25,65
2014-01-05 13:00:00;1,95;25,201
2014-01-05 14:00:00;1,916;24,766401
2014-01-05 15:00:00;1,873;24,19525
2014-01-05 16:00:00;1,837;23,703875
2014-01-05 17:00:00;1,811;23,3428
2014-01-05 18:00:00;1,751;22,520876
2014-01-05 19:00:00;1,739;22,3492
2014-01-05 20:00:00;1,716;22,020876
2014-01-05 21:00:00;1,716;22,020876
2014-01-05 22:00:00;1,695;21,71275
2014-01-05 23:00:00;1,686;21,586187
2014-01-06 00:00:00;1,673;21,402124
2014-01-06 01:00:00;1,671;21,37375
2014-01-06 02:00:00;1,669;21,345375
