Objetosc
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,01
0,01
0,01
0,01
0,08241683
0,28867367
0,19748187
0,45523447
0,19748187
0,61078894
0,311277
0,8625398
0,3672548
1,0502942
0,64239985
1,1574702
0,8673556
1,1774702
0,9921194
1,2174702
1,1014621
1,2574703
1,3164618
1,3409749
1,3264618
1,3509749
1,5151199
1,380975
1,5624204
1,390975
1,6058056
1,6447253
1,6158056
1,6447253
1,6449826
1,6447253
1,6449826
1,6447253
1,6449826
1,6447253
1,6449826
1,6447253
1,6449826
1,6447253
1,6449826
1,6447253
1,6449826
1,6447253
1,6449826
1,6547253
1,7411069
1,6547253
1,8517448
1,6547253
1,8517448
1,9213133
1,9322478
1,9963714
2,1529715
2,0730386
2,252414
2,1923404
2,322997
2,5185263
2,6623914
2,599264
2,6923914
2,8927693
3,0244057
3,1624358
3,058825
3,1871355
3,0950994
3,4153943
3,194028
3,686839
3,214028
3,706839
3,2440279
3,716839
3,2882266
3,716839
3,3182266
3,716839
3,3182266
3,716839
3,3182266
3,716839
3,3182266
3,716839
3,3182266
3,716839
3,3182266
3,716839
3,3182266
3,716839
3,3182266
3,726839
3,3282266
3,8361216
3,475853
3,9329927
3,550011
4,1626453
3,596943
4,4469132
3,616943
4,653232
3,708856
4,828476
3,8500366
4,9099317
3,9748645
5,1895485
4,1441684
5,683467
4,32831
6,004291
4,4040112
6,1002316
4,616686
6,217665
4,8039637
6,3416805
4,8039637
6,3667774
4,813964
6,4027543
4,8239636
6,4127545
4,8507776
6,4227543
4,9626684
6,4327545
4,9626684
6,4327545
4,9626684
6,4327545
4,9626684
6,4327545
4,9626684
6,4327545
4,9626684
6,4327545
4,9626684
6,5682783
5,0185933
6,5959272
5,0185933
6,6059275
5,072651
6,7108974
5,2206497
6,816204
5,25065
7,0294003
5,4825187
7,2034626
5,4925184
7,54167
5,64809
7,8723674
5,8623023
7,951364
5,955827
8,091612
6,106654
8,298802
6,1841507
8,494225
6,684299
8,568307
6,6942987
8,674063
6,806054
8,694062
6,8971314
8,704062
6,8971314
8,704062
6,9818416
8,704062
6,9818416
8,729742
6,9818416
8,729742
6,9818416
8,729742
6,9818416
8,729742
6,9818416
8,729742
6,9818416
8,729742
7,049056
8,828358
7,1641936
8,989859
7,1841936
8,999859
7,3112493
9,117923
7,581278
9,295438
7,6746573
9,49507
7,8002872
9,613536
7,971223
9,712474
8,245797
9,722474
8,399673
9,833243
8,62433
10,000349
8,832327
10,058598
8,865406
10,177207
8,960533
10,302594
8,960533
10,373506
9,108728
10,487693
9,185385
10,487693
9,185385
10,487693
9,185385
10,487693
9,185385
10,487693
9,185385
10,487693
9,185385
10,487693
9,185385
10,487693
9,185385
10,566341
9,185385
10,586342
9,203018
10,70341
9,223019
10,792459
9,240721
10,916084
9,309872
10,956054
9,482899
11,1728
9,678694
11,281794
9,941988
11,423918
10,097434
11,443918
10,181352
11,661303
10,494109
11,821156
10,684796
11,831155
10,721455
12,054955
10,840852
12,110585
10,8708515
12,1205845
10,94189
12,1205845
10,981423
12,226537
10,9923
12,236537
10,9923
12,236537
10,9923
12,236537
10,9923
12,236537
10,9923
12,236537
10,9923
12,236537
11,0023
12,263348
11,184719
12,295684
11,184719
12,305683
11,275516
12,325684
11,40042
12,558217
11,498543
12,706883
11,548543
12,859601
11,855006
12,8696
12,083131
13,06928
12,369829
13,37376
12,563947
13,5616665
12,706585
13,709897
12,801662
13,927227
13,000355
14,174016
13,189346
14,174016
13,476226
14,198223
13,49588
14,313933
13,49588
